timestep,dam,inflow,outflow
10,dam02,0,40
10,dam01,40,0
20,dam01,300,0
20,dam02,0,300
25,dam01,300,0
25,dam02,0,300
30,dam01,300,0
30,dam02,300,0
35,dam01,300,0
40,dam01,300,0
42,dam01,100,0
60,dam02,300,0
180,dam01,0,1000
200,dam02,0,400
300,dam03,1000,0
310,dam03,1000,0
320,dam03,1000,0
400,dam03,200,0
400,dam01,20,100
401,dam03,30,0
402,dam03,30,0
403,dam03,30,0
404,dam03,30,0
405,dam03,30,0
406,dam03,30,0
407,dam03,30,0
408,dam03,30,0
409,dam03,30,0
410,dam03,30,0
411,dam03,30,0
412,dam03,50,0
413,dam03,50,0
414,dam03,50,0
415,dam03,50,0
416,dam03,50,0
417,dam03,50,0
418,dam03,50,0
419,dam03,50,0
420,dam03,50,0
421,dam03,50,0
422,dam03,50,0
423,dam03,20,0
424,dam03,20,0
425,dam03,20,0
426,dam03,20,0
427,dam03,20,0
428,dam03,20,0
429,dam03,20,0
430,dam03,20,0
431,dam03,20,0
432,dam03,20,0
433,dam03,20,0
